Route_start|Route_end|Reference_time|Interval(days)|Area_size|Max_samples|Duration(s)|Number_of_records
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|1.41060805321|1000
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|1.08453893661|1000
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|1.39479708672|1000
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|1.04060602188|1000
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|1.46712803841|1000
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|1.57745194435|1000
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|1.894947052|1000
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|1.4151301384|1000
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|2.30250310898|1000
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|1.3691740036|1000
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|2.01045298576|1000
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|2.03605699539|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|0.988864898682|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|0.929450035095|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|0.964214801788|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|0.786260128021|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|1.01540899277|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|1.04310107231|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|1.07930707932|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.8|1000|0.829252004623|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.8|1000|1.04232883453|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.8|1000|0.957528829575|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.8|1000|1.09748387337|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.8|1000|1.07473301888|1000
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.8|1000|2.2773411274|1000
